Ref,Val,Package,PosX,PosY,Rot,Side
"D1","C503D-WAN","LED_D5.0mm",144.000000,-87.000000,15.000000,bottom
"D2","C503D-WAN","LED_D5.0mm",137.000000,-87.000000,0.000000,bottom
"D3","C503D-WAN","LED_D5.0mm",130.000000,-87.000000,-15.000000,bottom
"D4","C503D-WAN","LED_D5.0mm",144.000000,-80.000000,-15.000000,bottom
"D5","C503D-WAN","LED_D5.0mm",137.000000,-80.000000,0.000000,bottom
"D6","C503D-WAN","LED_D5.0mm",130.000000,-80.000000,15.000000,bottom
